Rank,Company_Name,Headquarters,Sectors,Total_Dataset_Score,Policy_Governance_Score,Transparency_Score,History_Modifier,Record_Count,Years_Tracked,Positive_Effect_Ratio,Has_Modern_Slavery_Policy,Has_Director_Signoff,Has_Board_Oversight,Has_Detailed_Disclosure,Assessment_Date
191,EnQuest plc,GB,"Oil, gas & coal",32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
192,Emtec Group Ltd,GB,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
193,Halma,GB,Unknown,32,25,7,1.2,5,5,1.0,True,True,True,False,2025-07-01
194,Halfords,GB,Auto parts;Bicycle;Retail,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
195,Adobe Systems,US,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,5,3,0.8,True,True,False,False,2025-07-01
196,Aetna Insurance Company Limited,GB,Insurance,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
197,Aerotron Ltd,GB,Freight handling,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
198,TSB,GB,Finance & banking,32,25,7,1.2,5,4,1.0,True,True,True,False,2025-07-01
199,Adler and Allan Group Limited,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
200,Harley-Davidson,Unknown,Unknown,32,25,7,1.1,3,3,0.667,True,True,True,False,2025-07-01
201,Hargreaves Lansdown,GB,Investment,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
202,Hardscape Products Limited,GB,Building materials & equipment,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
203,Harbour & Jones Ltd,GB,Tourism,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
204,Harrods,GB,Consumer products/retail: General,32,25,7,1.2,4,3,1.0,True,True,True,False,2025-07-01
205,Elior UK plc,GB,Tourism,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
206,Eli Lilly,US,Pharmaceutical,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
207,Hartwell plc,GB,Retail,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
208,Harsco Metals Group Limited,GB,Metals & steel;Mining,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
209,Elementis,Unknown,Unknown,32,25,7,1.1,4,3,0.75,True,True,True,False,2025-07-01
210,Element Materials Technology Group Limited,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
211,Elekta Limited,GB,Health and social care,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
212,Electrium Sales Limited,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
213,Electricity North West Limited,GB,Utilities: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
214,Syngenta,CH,Chemical: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
215,Aegon,NL,Insurance,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
216,Advent International plc,GB,Finance & banking,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
217,Aggreko,GB,Energy,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
218,Aggregate Industries UK Ltd,GB,Construction & building materials: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
219,T. Rowe Price,US,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
220,Hays,Unknown,Unknown,32,25,7,1.2,4,4,1.0,True,True,False,False,2025-07-01
221,Helical plc,GB,Real estate: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
222,Virgin Trains West Coast,GB,Transport: General,32,25,7,1.2,4,4,1.0,True,True,False,False,2025-07-01
223,Virgin Group,GB,Diversified/Conglomerates,32,25,7,1.2,18,5,1.0,True,True,True,False,2025-07-01
224,Henry Boot,GB,Construction,32,25,7,1.2,5,4,1.0,True,True,False,False,2025-07-01
225,Hennes & Mauritz (H&M),SE,Clothing & textile,32,25,7,1.1,4,3,0.75,True,True,True,False,2025-07-01
226,Edinburgh Airport Limited,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
227,Eisai,JP,Pharmaceutical,32,25,7,1.2,5,4,0.8,True,True,False,False,2025-07-01
228,Ei Group plc,GB,Tourism,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
229,Edelman,US,Media & publishing: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
230,Edwards Limited,GB,Machine & machine tools,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
231,Synthomer plc,GB,Chemical: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
